word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
0,42.43430158637946,37.78895196863182,46.06495192253157,40.86482587588272,44.58200834757185,2329.0,130.0,121.25,4.797888,2.024905,13.833171946327292,16.71549466518499,2002.0
0-0,11.23041001522857,48.63813499316094,55.82889111970402,24.61784156404086,47.86539560230184,54.0,15.0,25.38,3.234016,1.679108,0.0913511354946142,0.2409020616553857,40.0
0-1,36.94347868327088,50.70248391794596,61.48697353092677,46.57466559516896,60.97526437172095,47.0,14.0,19.32,2.961015,2.056278,0.0391504866405489,0.0777103424694792,40.0
00,34.98991100557844,33.91096160813238,78.63030727133109,56.910752335592285,74.43066821788008,540.0,280.0,281.21,5.6391,2.244225,3.1189887690303992,3.4425681713979315,468.0
000,33.12787447829114,31.35625064963653,76.48172601122644,64.98520483065346,76.71053112811104,1908.0,573.0,535.01,6.282279,2.291022,5.702920887306629,8.680245253840834,1605.0
007,43.920748765595775,46.20788452201581,54.96914118720917,50.10711973864625,53.61048420788962,57.0,389.0,358.75,5.882613,2.193386,0.5220064885406526,0.3652386096065525,49.0
00am,22.56003331042252,28.080768417448297,92.38788224255592,76.22529646922094,92.6557038169533,60.0,397.0,320.74,5.770619,1.970536,0.5872572996082341,0.2797572328901253,56.0
00pm,26.799299790170828,30.50382730434293,86.19086860753062,55.31188442509856,87.74784980200512,120.0,231.0,178.71,5.185788,2.084054,0.6003074618217504,0.4818041233107714,103.0
01,61.67626259066898,49.418465333922526,48.73627122024646,39.59002192115021,37.02333165548387,677.0,103.0,133.34,4.892897,2.208193,4.4892558014496124,5.175508808467319,570.0
02,60.81523537443334,53.84964655624949,45.27724782003549,38.429008984573,38.49249329600086,610.0,110.0,140.11,4.942403,2.347419,3.9280988262684096,5.0589432947631,539.0
03,56.34117725469629,49.36589501435124,45.33022022670074,35.85572431963979,40.648140538350944,734.0,135.0,146.83,4.989284,2.305376,4.202152232752253,5.20659294545511,614.0
04,60.47791982816088,51.06477805731485,50.414010785632776,38.78491736781526,41.94237678291994,683.0,158.0,167.51,5.121038,2.282586,4.959061641136199,4.856896404342454,592.0
05,59.23506633839857,48.601236247073146,50.7089651770261,38.83779054059432,45.33323313405591,703.0,170.0,196.16,5.278913,2.329318,4.7241587212929055,5.742794308494518,618.0
06,59.619068214437,51.390924499870216,49.60868574944684,38.87800843679404,47.30214693635027,844.0,150.0,168.78,5.128621,2.241485,5.5985195895984985,6.659776349634373,726.0
